userID	endDate	COALESCE(feature82,0)	COALESCE(feature98,0)
19200	2012-12-14	9	1
19200	2012-12-17	73	1
19200	2012-12-19	8	1
19300	2012-12-01	53	1
19300	2012-12-03	17	1
19300	2012-12-06	69	1
19300	2012-12-13	88	1
19300	2012-12-17	6	1
19300	2012-12-18	44	1
19300	2012-12-19	61	1
19700	2012-12-03	7	1
19700	2012-12-04	8	1
19700	2012-12-06	3	1
19700	2012-12-11	12	1
19700	2012-12-12	61	1
19700	2012-12-17	3	1
19700	2012-12-18	41	1
19700	2012-12-19	12	1
19700	2012-12-21	28	1
19800	2012-12-03	2	1
19800	2012-12-04	11	1
19800	2012-12-05	5	1
19800	2012-12-06	5	1
19800	2012-12-11	5	1
19800	2012-12-12	13	1
19800	2012-12-14	6	1
19800	2012-12-17	5	1
19800	2012-12-18	1	1
19800	2012-12-19	19	1
20200	2012-12-04	20	1
20200	2012-12-05	6	1
20200	2012-12-11	2	1
20200	2012-12-12	13	1
20200	2012-12-13	1	1
20200	2012-12-17	2	1
20200	2012-12-19	2	1
20300	2012-12-06	6	1
20300	2012-12-07	82	1
20300	2012-12-10	1	1
20300	2012-12-11	25	1
20300	2012-12-12	4	1
20300	2012-12-14	84	1
20300	2012-12-17	7	1
20300	2012-12-19	8	1
20300	2012-12-20	59	1
20300	2012-12-21	1	1
20500	2012-12-04	13	1
20500	2012-12-05	20	1
20500	2012-12-06	1	1
20500	2012-12-07	69	1
20500	2012-12-10	9	1
20500	2012-12-11	7	1
20500	2012-12-12	13	1
20500	2012-12-14	37	1
20500	2012-12-17	23	1
20500	2012-12-18	32	1
20500	2012-12-19	18	1
20500	2012-12-20	45	1
20500	2012-12-21	50	1
20800	2012-12-06	45	1
20900	2012-12-20	7	1
21100	2012-12-03	21	1
21100	2012-12-10	32	1
21100	2012-12-12	33	1
21100	2012-12-17	3	1
21100	2012-12-18	15	1
21100	2012-12-28	1	1
21200	2012-12-11	1	1
21200	2012-12-20	3	1
21300	2012-12-05	2	1
21400	2012-12-14	17	1
21400	2012-12-17	2	1
21400	2012-12-18	6	1
21500	2012-12-03	15	1
21500	2012-12-04	2	1
21500	2012-12-05	11	1
21500	2012-12-06	15	1
21500	2012-12-13	9	1
21500	2012-12-17	10	1
21500	2012-12-18	20	1
21500	2012-12-19	8	1
21500	2012-12-20	4	1
21500	2012-12-21	6	1
22000	2012-12-06	2	1
22100	2012-12-03	9	1
22100	2012-12-04	11	1
22100	2012-12-05	29	1
22100	2012-12-06	8	1
22100	2012-12-11	1	1
22100	2012-12-12	52	1
22100	2012-12-17	9	1
22400	2012-12-04	4	1
22400	2012-12-11	2	1
22400	2012-12-12	9	1
22400	2012-12-13	7	1
22400	2012-12-14	9	1
22400	2012-12-18	2	1
22400	2012-12-19	10	1
22400	2012-12-20	7	1
22400	2012-12-21	2	1
22500	2012-12-18	15	1
22500	2012-12-19	5	1
22600	2012-12-04	46	1
22600	2012-12-09	4	1
22600	2012-12-10	83	1
22600	2012-12-17	7	1
22600	2012-12-19	7	1
22600	2012-12-20	2	1
22600	2012-12-27	54	1
22600	2012-12-28	135	1
22700	2012-12-04	2	1
22700	2012-12-12	38	1
22700	2012-12-20	2	1
22800	2012-12-04	15	1
22800	2012-12-05	10	1
22800	2012-12-06	336	1
22800	2012-12-07	18	1
22800	2012-12-10	11	1
22800	2012-12-13	22	1
22800	2012-12-14	97	2
22900	2012-12-05	1	1
22900	2012-12-12	31	1
23000	2012-12-03	2	1
23200	2012-12-03	24	1
23200	2012-12-04	3	1
23200	2012-12-05	31	1
23200	2012-12-06	3	1
23200	2012-12-07	13	1
23200	2012-12-10	1	1
23200	2012-12-11	1	1
23200	2012-12-12	2	1
23200	2012-12-13	14	1
23200	2012-12-14	1	1
23200	2012-12-17	2	1
23200	2012-12-18	1	1
23200	2012-12-19	6	1
23200	2012-12-20	6	1
23400	2012-12-05	21	1
23400	2012-12-06	7	1
23400	2012-12-10	4	1
23400	2012-12-11	11	1
23400	2012-12-12	25	1
23400	2012-12-13	34	1
23400	2012-12-14	11	1
23400	2012-12-17	19	1
23600	2012-12-01	9	1
23600	2012-12-02	23	1
23600	2012-12-03	1	1
23600	2012-12-04	8	1
23600	2012-12-06	2	1
23600	2012-12-10	1	1
23600	2012-12-11	6	1
23600	2012-12-12	1	1
23600	2012-12-13	4	1
23600	2012-12-19	5	1
23800	2012-12-05	4	1
23800	2012-12-21	2	1
23900	2012-12-04	12	1
23900	2012-12-05	3	1
23900	2012-12-06	35	1
23900	2012-12-10	37	1
